padding,batchid,weekday,starttime,endtime,subject,iselective,ishonours,teacher
0,C1-1 TY,Monday,15:30,17:30,DJ19CEHN1C2,FALSE,TRUE,f17e8a24-8710-4f3a-9b3e-37823a5ace93
0,C1-2 TY,Monday,15:30,17:30,DJ19CEHN1C2,FALSE,TRUE,f17e8a24-8710-4f3a-9b3e-37823a5ace93
0,C1-1 TY,Tuesday,08:00,10:00,DJS22CEL604,FALSE,FALSE,3ad6ec9c-867f-45b6-83b8-3f61a2617afa
0,C1-2 TY,Tuesday,08:00,10:00,DJS22CEL6013,TRUE,FALSE,d8f3149c-e078-48d2-9d06-ddad1910353b
0,C1-2 TY,Tuesday,08:00,10:00,DJS22CEL6014,TRUE,FALSE,52092a38-4316-471c-9dec-0b06a60411cd
0,C1-1 TY,Tuesday,10:00,11:00,DJS22CEC603,FALSE,FALSE,7b1c1807-35a4-466b-9b5a-2344639e87f3
0,C1-2 TY,Tuesday,10:00,11:00,DJS22CEC603,FALSE,FALSE,7b1c1807-35a4-466b-9b5a-2344639e87f3
0,C1-1 TY,Tuesday,11:30,12:30,DJS22CEC6013,TRUE,FALSE,d8f3149c-e078-48d2-9d06-ddad1910353b
0,C1-2 TY,Tuesday,11:30,12:30,DJS22CEC6013,TRUE,FALSE,d8f3149c-e078-48d2-9d06-ddad1910353b
0,C1-2 TY,Tuesday,11:30,12:30,DJS22CEC6014,TRUE,FALSE,52092a38-4316-471c-9dec-0b06a60411cd
0,C1-1 TY,Tuesday,12:30,13:30,DJS22CEC602,FALSE,FALSE,6fbd45ba-38ad-435c-949c-c72e5131da10
0,C1-2 TY,Tuesday,12:30,13:30,DJS22CEC602,FALSE,FALSE,6fbd45ba-38ad-435c-949c-c72e5131da10
0,C1-1 TY,Wednesday,08:00,10:00,DJS22CEL6013,TRUE,FALSE,b59e524b-50b1-4f67-942b-90370273f282
0,C1-2 TY,Wednesday,08:00,10:00,DJS22CEL601,FALSE,FALSE,edc376eb-41f2-40d4-bae9-838ad0586e9d
0,C1-1 TY,Wednesday,10:30,11:30,DJS22CEC603,FALSE,FALSE,7b1c1807-35a4-466b-9b5a-2344639e87f3
0,C1-2 TY,Wednesday,10:30,11:30,DJS22CEC603,FALSE,FALSE,7b1c1807-35a4-466b-9b5a-2344639e87f3
0,C1-1 TY,Wednesday,11:30,12:30,DJS22CEC602,FALSE,FALSE,6fbd45ba-38ad-435c-949c-c72e5131da10
0,C1-2 TY,Wednesday,11:30,12:30,DJS22CEC602,FALSE,FALSE,6fbd45ba-38ad-435c-949c-c72e5131da10
0,C1-1 TY,Wednesday,12:30,13:30,DJS22CEC601,FALSE,FALSE,edc376eb-41f2-40d4-bae9-838ad0586e9d
0,C1-2 TY,Wednesday,12:30,13:30,DJS22CEC601,FALSE,FALSE,edc376eb-41f2-40d4-bae9-838ad0586e9d
0,C1-1 TY,Thursday,08:00,10:00,DJ19CEHN1L1,FALSE,TRUE,d8f3149c-e078-48d2-9d06-ddad1910353b
0,C1-2 TY,Thursday,08:00,10:00,DJ19CEHN1L1,FALSE,TRUE,d8f3149c-e078-48d2-9d06-ddad1910353b
0,C1-1 TY,Thursday,10:00,11:00,DJS22CEC6013,TRUE,FALSE,d8f3149c-e078-48d2-9d06-ddad1910353b
0,C1-2 TY,Thursday,10:00,11:00,DJS22CEC6013,TRUE,FALSE,d8f3149c-e078-48d2-9d06-ddad1910353b
0,C1-2 TY,Thursday,10:00,11:00,DJS22CEC6014,TRUE,FALSE,52092a38-4316-471c-9dec-0b06a60411cd
0,C1-1 TY,Thursday,11:30,12:30,DJS22CEC6013,TRUE,FALSE,d8f3149c-e078-48d2-9d06-ddad1910353b
0,C1-2 TY,Thursday,11:30,12:30,DJS22CEC6013,TRUE,FALSE,d8f3149c-e078-48d2-9d06-ddad1910353b
0,C1-2 TY,Thursday,11:30,12:30,DJS22CEC6014,TRUE,FALSE,52092a38-4316-471c-9dec-0b06a60411cd
0,C1-1 TY,Thursday,12:30,13:30,DJS22CEC602,FALSE,FALSE,6fbd45ba-38ad-435c-949c-c72e5131da10
0,C1-2 TY,Thursday,12:30,13:30,DJS22CEC602,FALSE,FALSE,6fbd45ba-38ad-435c-949c-c72e5131da10
0,C1-1 TY,Thursday,13:30,14:30,DJS22CEC601,FALSE,FALSE,edc376eb-41f2-40d4-bae9-838ad0586e9d
